item_type,item_name,satuan,price_min,price_max,source_url
upah_borongan,Pasang Bata,m2,30000,105000,"[18], [9], [2], [3], [4], [5], [19]"
upah_borongan,Pasang Keramik Lantai,m2,37000,68000,"[18], [9], [2], [3], [4], [5], [19], [6]"
upah_borongan,Pasang Kusen Pintu,unit,122000,180000,"[18], [4], [5], [19], [6]"
upah_borongan,Pasang Plafon,m2,35000,50000,"[18], [4], [5], [19], [6]"
upah_borongan,Pemasangan Beton,m3,40000,115000,"[9], [2], [5], [6]"
upah_borongan,Pengecatan Dinding,m2,17000,25000,"[18], [3], [4], [6]"
upah_borongan,Plesteran,m2,38500,85000,"[18], [9], [2], [3], [4], [19]"
upah_harian,Kepala Tukang,orang/hari,125000,230000,"[1], [2], [3], [4], [5], [6], [8]"
upah_harian,Mandor,orang/hari,100750,260000,"[9], [1], [2], [3], [8]"
upah_harian,Pembantu Tukang,orang/hari,75000,210000,"[1], [2], [3], [4], [5], [6], [7], [8], https://www.talenta.co/blog/cara-menghitung-cara-hitung-gaji-karyawan-per-jam-harian-perhari/"
upah_harian,Tukang Batu,orang/hari,100000,270000,"[9], [1], [2], [4], [6], [7], [8]"
upah_harian,Tukang Besi,orang/hari,120000,270000,"[9], [1], [2], [4], [7], [8]"
upah_harian,Tukang Cat,orang/hari,70000,178599,"[9], [1], [2], [4], [6], [8]"
upah_harian,Tukang Gali Tanah,orang/hari,75750,270000,"[9], [1], [5], [6], [7]"
upah_harian,Tukang Kayu,orang/hari,110000,270000,"[9], [1], [2], [4], [6], [7], [8]"
upah_harian,Tukang Las,orang/hari,110000,166729,"[9], [6]"
upah_harian,Tukang Listrik,orang/hari,110000,270000,"[5], [6], [7]"
material,Kloset duduk,unit,1500000,3500000,notebooklm-research batch2 (readymix.co.id)
material,Kloset jongkok,unit,250000,500000,notebooklm-research batch2 (readymix.co.id)
material,Wastafel,unit,450000,1200000,notebooklm-research batch2 (readymix.co.id)
material,Kran air,buah,35000,150000,notebooklm-research batch2 (readymix.co.id)
material,Floor drain,buah,25000,99500,notebooklm-research batch2
material,Shower set,set,350000,1250000,notebooklm-research batch2 (readymix.co.id)
material,Pipa PVC 3 inci,batang,100000,165000,notebooklm-research batch2
material,Pipa PVC 4 inci,batang,145000,348000,notebooklm-research batch2 (Rucika D)
material,Kabel NYM 2x1.5 mm,roll,350000,550000,notebooklm-research batch2 (readymix.co.id)
material,Kabel NYM 2x2.5 mm,roll,500000,750000,notebooklm-research batch2 (readymix.co.id)
material,Saklar tunggal,buah,15000,35000,notebooklm-research batch2 (readymix.co.id)
material,Saklar ganda,buah,20000,45000,notebooklm-research batch2 (readymix.co.id)
material,Stop kontak,buah,20000,45000,notebooklm-research batch2 (readymix.co.id)
material,MCB,buah,45000,150000,notebooklm-research batch2 (readymix.co.id)
material,Lampu LED,buah,25000,115000,notebooklm-research batch2 (readymix.co.id)
material,Fitting lampu,buah,10000,25000,notebooklm-research batch2 (readymix.co.id)
material,Kusen aluminium,meter,95000,150000,notebooklm-research batch2 (readymix.co.id)
material,Daun pintu,unit,650000,2500000,notebooklm-research batch2 (readymix.co.id)
material,Kaca 5 mm,m2,165000,225000,notebooklm-research batch2 (readymix.co.id)
material,Engsel pintu,pasang,25000,75000,notebooklm-research batch2 (readymix.co.id)
material,Gypsum board 9mm,lembar,65000,95000,notebooklm-research batch2
material,Rangka hollow,batang,20000,50600,notebooklm-research batch2 (smsperkasa.com)
material,List gypsum,meter,15000,35000,notebooklm-research batch2 (readymix.co.id)
material,GRC board,lembar,60000,110000,notebooklm-research batch2 (readymix.co.id)
material,Plafon PVC 8mm,meter,90000,90000,notebooklm-research batch2
material,Genteng metal,lembar,30000,75000,notebooklm-research batch2
material,Baja ringan kanal C75,batang,84000,135000,notebooklm-research batch2 (smsperkasa.com)
material,Seng gelombang,lembar,55000,95000,notebooklm-research batch2 (readymix.co.id)
material,Spandek,meter,29000,48000,notebooklm-research batch2 (Kinta/Azza)
material,Nok atap,batang,25000,55000,notebooklm-research batch2
material,Keramik dinding,dus,38000,150000,notebooklm-research batch2
material,Cat waterproofing,kg,35000,250000,notebooklm-research batch2
material,Cat dasar/plamir,kg,15000,60000,notebooklm-research batch2
material,Semen putih,sak,90000,130000,notebooklm-research batch2
material,Mortar MU-200 acian,sak,63000,166500,notebooklm-research batch2 (mortarutama)
material,Papan kayu kelas III,m3,1600000,1600000,BP Batam SSH 2026
material,Balok kayu kelas II,m3,3385000,4800000,"retail-nasional (meranti/borneo, capped <5M)"
material,Plywood 12mm,lembar,155000,233500,Tokopedia Batam
material,Dolken kayu 8-10 cm,batang,16000,16000,BP Batam SSH 2026
material,Minyak bekisting,liter,41790,41790,BP Batam SSH 2026
material,Lem kayu,kg,35000,48000,retail-nasional (Fox/Rajawali)
material,Membran bakar,m2,85000,155000,retail-nasional (Sika/Awning torch membrane)
material,Cairan primer,kg,19800,19800,Tokopedia Batam (Sika primer)
material,Profil aluminium 4 inch,m1,45000,85000,CURATED: Batam YKK/Alexindo 4in kusen bar; NBLM 20-35k too low (per-kg/thin-profile confusion) - domain judgment
material,Sekrup fixer,buah,5000,5000,Tokopedia Batam (dynabolt 10x60)
material,Sealant,tube,55000,98000,retail-nasional (polyurethane)
material,Silicone sealant 300 ml,tube,25000,45000,retail-nasional
material,Genteng beton,buah,6000,9000,"CURATED: flat concrete tile Batam; NBLM 9.5-14.5k skewed to premium/keramik - clipped, domain judgment"
material,Pipa PVC AW 1/2 inch,m1,8793,8793,Tokopedia Batam (per m1 from 5.8m batang)
material,Pipa PVC D 2 inch,m1,22413,22413,Tokopedia Batam (per m1 from 5.8m batang)
material,Kabel NYM 3x2.5 mm2,m1,18500,26500,retail-nasional (Supreme/Eterna)
material,Conduit HI 20 mm,m1,3667,3667,Tokopedia Batam (11000/batang 3m -> per m1)
material,T dus,buah,2000,4000,retail-nasional
material,Socket conduit 20 mm,buah,2000,3000,retail-nasional
material,Klem 20 mm,buah,500,1000,retail-nasional
material,Fischer S6 + sekrup,buah,500,1000,retail-nasional
material,Flexible conduit 20 mm,m1,5000,9000,retail-nasional
material,Elbow,buah,2000,3000,retail-nasional (conduit elbow)
material,Lasdop,buah,1000,2000,retail-nasional
material,Isolasi,m1,500,1000,retail-nasional (per m from roll)
material,Menie,kg,79600,79600,BP Batam SSH 2026 (cat dasar baja)
material,Plamur,kg,25000,45000,retail-nasional (plamur kayu)
material,Pengencer,kg,19900,19900,BP Batam SSH 2026 (thinner)
material,Kuas,buah,10000,25000,retail-nasional
material,Ampelas,lembar,3000,6000,retail-nasional
material,Kawat beton,kg,30000,30000,Tokopedia Batam (bendrat)
material,Kawat las,kg,16000,16000,BP Batam SSH 2026
material,Paku biasa,kg,20000,20000,BP Batam SSH 2026
material,Sealtape,buah,3000,6000,retail-nasional
material,Flexible hose,unit,15000,35000,retail-nasional (kloset flexi hose)
upah_harian,Tukang aluminium,OH,155000,166729,BP Batam 2026
upah_harian,Tukang pipa,OH,157643,166729,99.co Batam 2026
material,Kunci tanam biasa,buah,60000,250000,"firecrawl-2026 (mortise lock basic-SES, tokopedia/lazada)"
material,Kait angin,buah,30000,90000,"firecrawl-2026 (hak angin/window stay metal, blibli/tokopedia/dekson)"
material,Seng pelat,m1,30000,56000,"firecrawl-2026 (seng talang BJLS28 /m1, siplah-blibli/tokopedia)"
material,Bata roster,buah,9000,15000,"firecrawl-2026 (roster beton biji, qhomemart/99.co/tokopedia)"
material,MCB box,unit,25000,76000,"firecrawl-2026 (Broco box MCB 4 group, tokopedia/monotaro/shopee)"
material,Pompa jet 27 lpm,unit,1800000,2700000,"firecrawl-2026 (Shimizu PC-260 jet pump, blibli/tokopedia/shopee)"
material,Tangki toren 0.7 m3,unit,1290000,1825000,"firecrawl-2026 (Penguin TW-70 700L, blibli/lazada/shopee)"
material,Balok kayu 6/12,m3,3000000,4800000,"firecrawl-2026 (meranti/borneo 6x12 per m3, sejasa/tokopedia; capped <5M)"
material,Pasir beton,m3,250000,400000,"firecrawl-2026 (pasir cor per m3, jayawan/sejasa; Batam ship-premium)"
material,Kerikil,m3,300000,450000,firecrawl-2026 (split/kerikil per m3)
material,Kayu kelas III,m3,1600000,1600000,BP Batam SSH 2026 (= papan kayu kelas III)
